# instance du sac à dos - 24 objets
# solution : 1	1	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1
# capcité :
    6404180
# objets = id poids valeur :
a	382745	825594
b	799601	1677009
c	909247	1676628
d	729069	1523970
e	467902	943972
f	44328	97426
g	34610	69666
h	698150	1296457
i	823460	1679693
j	903959	1902996
k	853665	1844992
l	551830	1049289
m	610856	1252836
n	670702	1319836
o	488960	953277
p	951111	2067538
q	323046	675367
r	446298	853655
s	931161	1826027
t	31385	65731
u	496951	901489
v	264724	577243
w	224916	466257
x	169684	369261

